review,date,Marca,Produto,loja,estrelas,gptpt,descricaoGptpt,url
"Excelente cerveja, não deixa nada a desejar para a Heineken.",2022-09-13,Becks,Becks,Amazon,4.8,1,"A avaliação é claramente positiva, pois descreve a cerveja como excelente e afirma que não deixa nada a desejar para a Heineken, o que indica uma experiência satisfatória com o produto Becks.",https://www.amazon.com.br/gp/customer-reviews/R1RHKTZTN3E6HN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
Veio uma latinha a menos e todas as latas amassadas,2023-08-10,Becks,Becks,Amazon,4.8,-1,"A avaliação é claramente negativa, pois menciona que veio uma lata a menos e todas as latas estavam amassadas, o que indica uma experiência ruim com o produto.",https://www.amazon.com.br/gp/customer-reviews/R1RCZB5JLFWN9H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
A cerveja é amarga e muito top,2022-12-07,Becks,Becks,Amazon,4.8,1,"A avaliação menciona que a cerveja é amarga, o que pode ser considerado uma característica positiva para alguns apreciadores de cerveja. Além disso, o termo muito top indica uma opinião positiva sobre o produto.",https://www.amazon.com.br/gp/customer-reviews/R1PDYI2NT7H4X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
Cerveja muito boa e o preço estava ótimo,2023-04-01,Becks,Becks,Amazon,4.8,1,"A avaliação é claramente positiva, pois descreve a cerveja como muito boa e destaca que o preço estava ótimo. Esses são aspectos positivos que indicam uma experiência satisfatória com o produto.",https://www.amazon.com.br/gp/customer-reviews/R1JC2R7G0WWCU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
"Viajei, não consegui acompanhar a chegada e o prazo de devolução encerrou.",2023-01-04,Becks,Becks,Amazon,4.8,0,"A avaliação relata uma situação em que a pessoa não conseguiu acompanhar a chegada do produto e o prazo de devolução encerrou. Não há expressão de opinião positiva ou negativa em relação ao produto em si, apenas uma descrição dos acontecimentos.",https://www.amazon.com.br/gp/customer-reviews/R1HMGV1VWO0P6V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
"Sabor forte, percebe-se que esta tomando uma cerveja de qualidade, recomendo!",2021-10-18,Becks,Becks,Amazon,4.8,1,"A avaliação destaca o sabor forte e a percepção de estar tomando uma cerveja de qualidade, além de recomendar o produto. Isso indica uma experiência positiva com a cerveja Becks.",https://www.amazon.com.br/gp/customer-reviews/R1HJI5ZGGTHBCO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
Excelentes produto.,2023-09-09,Becks,Becks,Amazon,4.8,1,A avaliação expressa claramente uma opinião positiva ao descrever o produto como excelente.,https://www.amazon.com.br/gp/customer-reviews/R1GH9ME3975DLN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
"Excelente cerveja, uma pena que algumas latas vieram amassadas",2022-09-15,Becks,Becks,Amazon,4.8,1,"A avaliação começa de forma positiva ao descrever a cerveja como excelente. No entanto, a menção de que algumas latas vieram amassadas não muda a percepção geral positiva do produto, pois se refere a um problema pontual de embalagem e não à qualidade da cerveja em si.",https://www.amazon.com.br/gp/customer-reviews/R1G09CR4KHR6YR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
"Cerveja de padrão normal, nada excepcional. Só vale se estiver em promoção.",2023-05-02,Becks,Becks,Amazon,4.8,0,"A avaliação descreve a cerveja como de padrão normal e nada excepcional, indicando uma opinião neutra. A menção de que só vale a pena se estiver em promoção também reforça essa neutralidade, pois sugere que o custo-benefício é um fator importante na avaliação.",https://www.amazon.com.br/gp/customer-reviews/R1FJ9K4HNQYJ95/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
Cerveja muito boa.,2023-11-16,Becks,Becks,Amazon,4.8,1,"A avaliação é claramente positiva ao afirmar que a cerveja é muito boa, indicando uma experiência satisfatória com o produto Becks.",https://www.amazon.com.br/gp/customer-reviews/R1FEF1D0YHU4Q8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
"Muito saborosa, lembra o sabor da Heineken.",2022-12-01,Becks,Becks,Amazon,4.8,1,"A avaliação é positiva, pois descreve a cerveja como muito saborosa e faz uma comparação positiva com o sabor da Heineken, o que sugere uma experiência agradável com o produto.",https://www.amazon.com.br/gp/customer-reviews/R1BTQVTQY0D4LL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
"Fiz a compra de 24 unidades e chegaram 22. As cervejas vieram mal embaladas, reviradas e faltando. Lamentável. A avaliação é para o site da amazon e não para o produto que é muito bom.",2023-07-07,Becks,Becks,Amazon,4.8,-1,"A avaliação menciona que as cervejas chegaram mal embaladas, reviradas e faltando, o que indica uma experiência negativa. Apesar de mencionar que o produto é muito bom, a avaliação se refere principalmente à experiência de compra, sendo assim classificada como negativa.",https://www.amazon.com.br/gp/customer-reviews/R19KWT276XBSLX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
Chegou no tempo combinado e com custo benefício regular 😉,2023-06-04,Becks,Becks,Amazon,4.8,1,"A avaliação menciona que o produto chegou no tempo combinado, o que é positivo em termos de serviço ao cliente. Além disso, a menção ao custo benefício regular com um emoji de piscadela indica uma avaliação positiva de forma sutil e descontraída.",https://www.amazon.com.br/gp/customer-reviews/R17RULYZKLGOTI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08DWJ4NYW
Perfeito.,2024-07-01,Brahma,Brahma,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao utilizar a palavra perfeito, indicando uma experiência satisfatória com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB26449795?noIndex=true&access=view_all&modal=true&controlled=true
Gostei.,2024-06-30,Brahma,Brahma,Mercado Livre,4.8,1,"A avaliação é claramente positiva, pois expressa que a pessoa gostou do produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB26449795?noIndex=true&access=view_all&modal=true&controlled=true
Bom.,2024-06-15,Brahma,Brahma,Mercado Livre,4.8,0,"A avaliação é neutra, pois a palavra bom por si só não indica claramente se a opinião é positiva ou negativa.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB26449795?noIndex=true&access=view_all&modal=true&controlled=true
Excelente.,2024-06-04,Brahma,Brahma,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao utilizar a palavra excelente, indicando uma opinião favorável em relação ao produto Brahma.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB26449795?noIndex=true&access=view_all&modal=true&controlled=true
Boa.,2024-05-01,Brahma,Brahma,Mercado Livre,4.8,0,"A avaliação é neutra, pois apenas afirma que o produto é boa, sem fornecer detalhes que indiquem uma opinião positiva ou negativa.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB26449795?noIndex=true&access=view_all&modal=true&controlled=true
Excelente.,2024-04-16,Brahma,Brahma,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao utilizar a palavra excelente, indicando uma opinião favorável em relação ao produto Brahma.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB26449795?noIndex=true&access=view_all&modal=true&controlled=true
Delicioso.,2024-01-13,Brahma,Brahma,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao descrever o produto como delicioso. Não há sarcasmo, ironia ou polarity shift, apenas uma opinião favorável sobre o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB26449795?noIndex=true&access=view_all&modal=true&controlled=true
"A cerveja é amplamente elogiada por sua excelente qualidade, sendo considerada uma das melhores do mercado em termos de sabor. Além disso, destacase pelo melhor preço, sendo uma escolha preferencial para muitos.",2024-03-13,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva, destacando a excelente qualidade, o sabor e o melhor preço da cerveja. Isso indica uma experiência positiva e uma preferência pelo produto, o que classifica a avaliação como positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Mercado livre está de parabéns com seu serviço prestado. Produtos chegaram em menos de uma semana em porto velho. Todos intactos.,2024-03-13,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação elogia o serviço prestado pelo Mercado Livre, destacando a rapidez na entrega e a integridade dos produtos. Isso indica uma experiência positiva com a empresa.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Tudo certo.,2024-02-09,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,0,"A avaliação Tudo certo. não expressa uma opinião positiva ou negativa sobre o produto Brahma Duplo Malte, apenas indica que está tudo bem, o que caracteriza uma avaliação neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
"É cerveja, nada demais. Tudo certo.",2024-07-26,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,0,"A avaliação é neutra, pois o avaliador afirma que é apenas cerveja, sem destacar nada de especial, mas também não faz críticas negativas. A expressão tudo certo indica uma avaliação neutra e sem grandes emoções.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Ótima!.,2024-07-15,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao utilizar a palavra ótima, indicando uma experiência satisfatória com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
"Como diz a propaganda, muito cremosa de baixo amargor, ótima!.",2024-07-12,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação destaca pontos positivos da cerveja Brahma Duplo Malte, como ser cremosa, ter baixo amargor e ser ótima. Portanto, é classificada como positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Boa cerveja.,2024-07-08,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é simples e direta, afirmando que a cerveja é boa, o que indica uma opinião positiva sobre o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Tomei todas e não fiquei de ressaca. Será que sou alcoólatra?.,2024-07-05,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,0,"A avaliação relata uma experiência pessoal de não ter ficado de ressaca após consumir o produto, mas a dúvida final sobre ser alcoólatra não expressa claramente uma opinião positiva ou negativa sobre a cerveja Brahma Duplo Malte, sendo assim classificada como neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Show.,2024-06-23,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação Show. é claramente positiva, indicando que o avaliador teve uma experiência muito boa com o produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Yudo de bom.,2024-06-15,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação utiliza uma expressão positiva (muito bom) para descrever a cerveja Brahma Duplo Malte, indicando uma opinião favorável em relação ao produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Tudo perfeito!.,2024-06-11,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que tudo está perfeito, indicando uma experiência satisfatória com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Ótimo.,2024-06-09,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao utilizar a palavra ótimo, indicando uma opinião favorável em relação ao produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Tudo certinho.,2024-06-04,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,0,"A avaliação apenas relata que está tudo certo, sem expressar nenhuma opinião positiva ou negativa em relação ao produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Rápido.,2024-06-02,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,0,"A avaliação é neutra, pois apenas descreve a rapidez do produto sem expressar uma opinião positiva ou negativa.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Tudo certo.,2024-05-27,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,0,"A avaliação Tudo certo. não expressa uma opinião clara positiva ou negativa sobre o produto Brahma Duplo Malte, sendo considerada neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Top.,2024-05-26,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é curta e direta, utilizando a palavra Top para descrever o produto de forma positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
"Comprei duas caixas, uma delas veio toda amassada, é bom ter mais cuidado com o transporte.",2024-05-25,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,0,"A avaliação menciona um problema com o transporte de uma das caixas, o que pode ser considerado negativo, mas também destaca a necessidade de mais cuidado nesse aspecto. Portanto, a avaliação é classificada como neutra, pois não expressa uma opinião clara sobre a qualidade do produto em si.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
"Duplo malte, sem comentários, maravilha de cerveja.",2024-05-22,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,A avaliação é claramente positiva ao descrever o produto como maravilha de cerveja e não apresentar nenhum comentário negativo. Isso indica uma experiência satisfatória com o produto Brahma Duplo Malte.,https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Boa.,2024-05-21,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é curta e direta, apenas afirmando que o produto é bom. Isso indica uma opinião positiva em relação ao Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Ótimo saboroso.,2024-05-09,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao descrever o produto como ótimo e saboroso. Não há indicações de sarcasmo, ironia ou polarity shift, apenas elogios diretos ao sabor do produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Muito bom.,2024-05-07,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que o produto é muito bom. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Protudo excelente.,2024-04-25,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que o produto é excelente, indicando uma opinião favorável em relação ao Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Uito bom gostei.,2024-03-29,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,A avaliação expressa uma opinião positiva ao afirmar que o produto é muito bom e que o avaliador gostou.,https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Muito bom produto.,2024-03-24,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que o produto é muito bom. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Ótimo. Recomendo.,2024-03-17,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao utilizar termos como ótimo e recomendo, indicando uma experiência satisfatória com o produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Pra mim é uma da minha preferência e recomendo.,2024-03-16,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação expressa uma opinião positiva ao afirmar que o produto é uma das preferências do consumidor e que ele o recomenda, indicando uma experiência satisfatória com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Refrescante.,2024-02-29,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é positiva, pois descreve o produto como refrescante, o que é uma característica desejável em uma cerveja. Não há elementos que indiquem sarcasmo, ironia ou polarity shift.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Melhor preço do mercado.,2024-02-18,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação destaca o melhor preço do mercado, o que é um aspecto positivo para o produto. Portanto, a classificação é positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Bom.,2024-02-16,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,0,"A avaliação é neutra, pois a palavra bom por si só não indica claramente se a opinião é positiva ou negativa em relação ao produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
A melhor do mercado.,2024-02-15,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação afirma que o produto é a melhor do mercado, o que claramente indica uma opinião positiva sobre a Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Refrescante enquanto verão.,2024-01-06,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação destaca que a cerveja Brahma Duplo Malte é refrescante, o que é um aspecto positivo, especialmente durante o verão. Portanto, a classificação é positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Muito bom.,2024-01-02,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que o produto é muito bom. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Muito bom.,2023-11-30,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que o produto é muito bom. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Super recomendo gostei.,2023-11-28,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação expressa uma recomendação positiva e um gostei, indicando uma opinião favorável em relação ao produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Muito saborosa.,2023-11-25,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que a cerveja é muito saborosa, indicando uma experiência agradável com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
"Um dos fardos veio com uma lata estourada, mesmo assim resolvi não devolver!!!.",2023-11-23,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,-1,"A avaliação menciona um problema com uma lata estourada, o que indica uma experiência negativa com o produto. O fato de ter decidido não devolver também sugere uma insatisfação com a situação.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Recomendo.,2023-11-07,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao recomendar o produto, indicando uma experiência satisfatória.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Produto de uso público largamente difundido e de excelente qualidade.,2023-10-30,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação descreve o produto como de excelente qualidade, o que indica uma opinião positiva sobre o Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Muito bom.,2023-10-21,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que o produto é muito bom. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Produto ótimo.,2023-09-29,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao descrever o produto como ótimo, indicando uma experiência satisfatória.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Maravilhosa 😄😄😄.,2023-09-24,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação utiliza emojis de sorriso para expressar uma opinião positiva, indicando que a experiência com o produto foi maravilhosa.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Duplo malte com ótimo custo benefício.,2023-09-19,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação destaca o ótimo custo benefício do produto Brahma Duplo Malte, o que é positivo e indica uma experiência satisfatória para o consumidor.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
É excelente.,2023-09-14,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que o produto é excelente, indicando uma opinião favorável em relação ao Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Show de brejas.,2023-09-03,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A expressão Show de brejas indica uma avaliação positiva, sugerindo que as cervejas são excelentes ou de alta qualidade.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Muito bom.,2023-08-21,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que o produto é muito bom. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
"Melhor cerveja entre as medianas, pra ganhar dessa so a budweiser ou stella.",2023-07-23,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação destaca que a cerveja é a melhor entre as medianas e menciona que apenas a Budweiser ou Stella poderiam superá-la, o que indica uma opinião positiva em relação ao produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Excelente cerveja.,2023-07-23,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao descrever a cerveja como excelente. Não há sarcasmo, ironia ou polarity shift, apenas uma opinião favorável em relação ao produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Muito bom.,2024-02-13,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,1,"A avaliação é claramente positiva ao afirmar que o produto é muito bom. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
"Fiz compra da duplo malte, via supermecado, acreditando estar fazendo economia, e recebo caixa com latas furadas. Decepção ao realizar a compra via mercado livre.",2023-07-31,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,-1,"A avaliação é claramente negativa, pois menciona a decepção ao receber o produto com latas furadas após a compra via supermercado. Isso indica uma experiência negativa com o produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
Eu errei em comprar este produto porque eu achava que a quantidade liquida era de 473ml mas este produto foi de 350ml o que saiu mujito muito caro comparado com este produto vendido no mercado local. Nao valeu a compra.,2024-07-16,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,-1,"A avaliação é claramente negativa, pois o consumidor expressa arrependimento pela compra devido à quantidade menor do que esperava e ao preço considerado muito alto em comparação com produtos similares no mercado local. Além disso, a frase Nao valeu a compra reforça a percepção negativa da experiência.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
"Veio com uma lata furada e três amassado,perdi 4 latas.",2023-12-20,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,-1,"A avaliação é claramente negativa, pois relata problemas com o produto, como uma lata furada e três amassadas, resultando na perda de 4 latas. Isso indica uma experiência insatisfatória com o produto Brahma Duplo Malte.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
A maioria das latas sujas parecendo que vieram de um depósito abandonado. Uma além de suja veio vazia e amassada. Não gostei se visse o estado em que estavam não receberia.,2023-09-06,Brahma,Brahma Duplo Malte,Mercado Livre,4.8,-1,"A avaliação é claramente negativa, pois descreve as latas como sujas, vazias, amassadas e em péssimo estado. Além disso, a frase não gostei reforça a experiência negativa do consumidor com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB19478552?noIndex=true&access=view_all&modal=true&controlled=true
"A cerveja é muito apreciada por seu sabor agradável e forte, sendo considerada uma excelente opção entre as cervejas populares. Além disso, é destacada por seu ótimo custobenefício e é especialmente recomendada para acompanhar churrascos.",2023-11-17,Budweiser,Budweiser,Mercado Livre,4.8,1,"A avaliação é claramente positiva, destacando o sabor agradável e forte da cerveja, além de mencionar que é uma excelente opção entre as cervejas populares. A menção ao ótimo custo-benefício e a recomendação para acompanhar churrascos reforçam a avaliação positiva do produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB24206840?noIndex=true&access=view_all&modal=true&controlled=true
"Muito boa. Toque forte, agradável. Casa bem com um churrasco.",2023-11-17,Budweiser,Budweiser,Mercado Livre,4.8,1,"A avaliação descreve a cerveja como muito boa e destaca características positivas como toque forte e agradável. Além disso, menciona que a cerveja casa bem com um churrasco, o que reforça a experiência positiva. Portanto, a avaliação é classificada como positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB24206840?noIndex=true&access=view_all&modal=true&controlled=true
Cerveja muito boa.,2023-09-04,Budweiser,Budweiser,Mercado Livre,4.8,1,"A avaliação expressa claramente uma opinião positiva ao descrever a cerveja como muito boa. Não há elementos que indiquem ironia, sarcasmo ou polarity shift, portanto, a classificação é positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB24206840?noIndex=true&access=view_all&modal=true&controlled=true
